,DateTime,Data Source,Value,Alias
0,8/20/2021 12:00:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.42,
8,8/20/2021 12:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.45,
15,8/20/2021 12:30:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.5,
22,8/20/2021 12:45:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.46,
29,8/20/2021 1:00:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.52,
36,8/20/2021 1:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.41,
43,8/20/2021 1:30:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.38,
50,8/20/2021 1:45:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,378.29,
57,8/20/2021 1:53:38 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,1.0,
64,8/20/2021 2:00:01 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,0.0,
72,8/20/2021 2:00:01 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.2,
78,8/20/2021 2:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.36,
85,8/20/2021 2:30:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.48,
92,8/20/2021 2:45:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.5,
99,8/20/2021 3:00:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.62,
106,8/20/2021 3:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.68,
114,8/20/2021 3:30:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.61,
120,8/20/2021 3:45:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.58,
127,8/20/2021 4:00:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.72,
134,8/20/2021 4:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.82,
141,8/20/2021 4:30:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.88,
148,8/20/2021 4:45:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.77,
155,8/20/2021 5:00:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.9,
162,8/20/2021 5:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.98,
169,8/20/2021 5:30:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.92,
176,8/20/2021 5:45:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.91,
183,8/20/2021 6:00:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,375.96,
190,8/20/2021 6:15:00 AM,System1.Management View:Project.Field Networks.MAIN_BUILDING.Hardware.AHU4 PANEL.FLN 1.FOOD SERVICE.VAV-4-14A (221) AIR VOLUME 3.Present Value,372.97,
