DateTime,VAV-4-07 (221) AIR VOLUME 3,VAV-4-07 (217) AIR VOL SP 3,VAV-4-07 (016) CLG STPT EFF,VAV-4-07 (025) H_C STATE,VAV-4-07 (028) HTG STPT EFF,VAV-4-07 (028) HTG V POS 4,VAV-4-07 (039) ROOM TEMP 4,VAV-4-07 (113) SPLY TEMP 7
2021-08-20 00:00:00,71.01,2.0,67.01,22.38,66.92,63.37,75.0,73.66
2021-08-20 00:15:00,71.01,2.0,67.01,15.91,67.03,63.91,75.0,73.66
2021-08-20 00:30:00,71.01,2.0,67.01,11.66,66.99,64.81,75.0,73.66
2021-08-20 00:45:00,71.01,2.0,67.01,9.0,66.99,65.97,75.0,73.66
2021-08-20 01:00:00,71.01,2.0,67.01,23.44,66.96,63.19,75.0,73.66
2021-08-20 01:15:00,71.01,2.0,67.01,16.86,67.06,63.66,75.0,73.66
2021-08-20 01:30:00,71.01,2.0,67.01,2.91,67.1,65.25,75.0,73.66
2021-08-20 01:45:00,71.01,2.0,67.01,12.49,66.99,63.52,75.0,73.66
2021-08-20 01:53:38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-08-20 02:00:01,35.505,1.0,33.505,1.585,33.425,36.36,37.5,36.83
2021-08-20 02:15:00,71.01,2.0,67.01,0.0,67.14,64.49,75.0,73.66
2021-08-20 02:30:00,71.01,2.0,67.01,2.2,66.99,64.09,75.0,73.66
2021-08-20 02:45:00,71.01,2.0,67.01,14.99,66.99,63.91,75.0,73.66
2021-08-20 03:00:00,71.01,2.0,67.01,6.81,67.1,66.51,75.0,73.66
2021-08-20 03:15:00,71.01,2.0,67.01,8.95,67.1,64.09,75.0,73.66
2021-08-20 03:30:00,71.01,2.0,67.01,13.29,66.92,63.81,75.0,73.66
2021-08-20 03:45:00,71.01,2.0,67.01,0.0,67.03,67.55,75.0,73.66
2021-08-20 04:00:00,71.01,2.0,67.01,0.0,67.17,64.2,75.0,73.66
2021-08-20 04:15:00,71.01,2.0,67.01,0.0,67.03,63.81,75.0,73.66
2021-08-20 04:30:00,71.01,2.0,67.01,0.0,66.99,63.81,75.0,73.66
2021-08-20 04:45:00,71.01,2.0,67.01,0.876,67.03,64.09,75.0,73.66
2021-08-20 05:00:00,71.01,2.0,67.01,2.15,67.03,63.91,75.0,73.66
2021-08-20 05:15:00,71.01,2.0,67.01,3.49,67.03,64.09,75.0,73.66
2021-08-20 05:30:00,71.01,2.0,67.01,3.49,66.99,63.91,75.0,73.66
2021-08-20 05:45:00,71.01,2.0,67.01,5.99,66.92,63.81,75.0,73.66
2021-08-20 06:00:00,71.01,2.0,67.01,18.47,66.99,63.72,75.0,73.66
2021-08-20 06:15:00,71.01,2.0,67.01,22.64,67.03,64.38,75.0,73.66
2021-08-20 06:30:00,71.01,2.0,67.01,0.0901,67.21,64.96,75.0,73.66
2021-08-20 06:45:00,71.01,2.0,67.01,0.0,67.1,64.49,75.0,73.66
2021-08-20 07:00:00,71.01,2.0,67.01,0.0,67.17,64.78,75.0,73.66
2021-08-20 07:15:00,71.01,2.0,67.01,0.0,67.1,64.49,75.0,73.66
2021-08-20 07:30:00,71.01,2.0,67.01,0.0,67.14,64.38,75.0,73.66
2021-08-20 07:45:00,71.01,1.0,67.01,0.0,67.5,64.49,75.0,73.66
2021-08-20 08:00:00,71.01,1.0,67.01,0.0,67.46,65.07,75.0,73.66
2021-08-20 08:15:00,71.01,1.0,67.01,0.0,67.64,65.53,75.0,76.59
2021-08-20 08:30:00,71.01,1.0,67.01,0.0,67.64,65.82,75.0,76.59
2021-08-20 08:45:00,71.01,1.0,67.01,0.0,68.0,66.22,75.0,76.59
2021-08-20 09:00:00,71.01,1.0,67.01,0.0,68.22,66.31,75.0,76.59
2021-08-20 09:15:00,71.01,1.0,67.01,0.0,68.32,66.51,75.0,76.59
2021-08-20 09:30:00,71.01,1.0,67.01,0.0,68.36,66.51,75.0,76.59
2021-08-20 09:45:00,71.01,1.0,67.01,0.0,68.18,67.37,75.0,76.59
2021-08-20 10:00:00,71.01,1.0,67.01,0.0,68.18,67.95,75.0,76.59
2021-08-20 10:15:00,71.01,1.0,67.01,0.0,68.36,68.72,75.0,76.59
2021-08-20 10:30:00,71.01,1.0,67.01,0.0,68.36,69.19,75.0,76.59
2021-08-20 10:45:00,71.01,1.0,67.01,0.0,68.5,69.58,75.0,76.59
