DateTime,VAV-4-14A (221) AIR VOLUME 3,VAV-4-14A (217) AIR VOL SP 3,VAV-4-14A (016) CLG STPT EFF,VAV-4-14A (025) H_C STATE,VAV-4-14A (028) HTG STPT EFF,VAV-4-14A (028) HTG V POS 4,VAV-4-14A (113) SPLY TEMP 7
2021-08-20 00:00:00,74.0,2.0,70.0,19.66,72.86,375.0,375.42
2021-08-20 00:15:00,74.0,2.0,70.0,2.33,63.57,375.0,375.45
2021-08-20 00:30:00,74.0,2.0,70.0,25.05,62.85,375.0,375.5
2021-08-20 00:45:00,74.0,2.0,70.0,6.47,72.14,375.0,375.46
2021-08-20 01:00:00,74.0,2.0,70.0,7.49,71.65,375.0,375.52
2021-08-20 01:15:00,74.0,2.0,70.0,5.0,70.65,375.0,372.41
2021-08-20 01:30:00,74.0,2.0,70.0,2.65,72.1,375.0,375.38
2021-08-20 01:45:00,74.0,2.0,70.0,6.46,64.0,375.0,378.29
2021-08-20 01:53:38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-08-20 02:00:01,37.0,1.0,35.0,6.115,35.61,187.5,187.6
2021-08-20 02:15:00,74.0,2.0,70.0,22.14,66.45,375.0,375.36
2021-08-20 02:30:00,74.0,2.0,70.0,10.75,64.0,375.0,372.48
2021-08-20 02:45:00,74.0,2.0,70.0,11.35,72.39,375.0,372.5
2021-08-20 03:00:00,74.0,2.0,70.0,25.44,65.01,375.0,375.62
2021-08-20 03:15:00,74.0,2.0,70.0,25.91,64.54,375.0,372.68
2021-08-20 03:30:00,74.0,1.0,70.0,0.0,63.14,375.0,372.61
2021-08-20 03:45:00,74.0,2.0,70.0,6.35,72.54,375.0,375.58
2021-08-20 04:00:00,74.0,2.0,70.0,15.01,66.9,375.0,372.72
2021-08-20 04:15:00,74.0,1.0,70.0,0.0,63.0,375.0,375.82
2021-08-20 04:30:00,74.0,2.0,70.0,15.99,72.25,375.0,375.88
2021-08-20 04:45:00,74.0,2.0,70.0,20.26,63.86,375.0,375.77
2021-08-20 05:00:00,74.0,2.0,70.0,0.85,64.0,375.0,375.9
2021-08-20 05:15:00,74.0,2.0,70.0,9.38,66.02,375.0,372.98
2021-08-20 05:30:00,74.0,2.0,70.0,0.0,64.83,375.0,372.92
2021-08-20 05:45:00,74.0,2.0,70.0,6.7,69.3,375.0,375.91
2021-08-20 06:00:00,74.0,2.0,70.0,24.92,69.87,375.0,375.96
2021-08-20 06:15:00,74.0,2.0,70.0,0.659,66.45,375.0,372.97
2021-08-20 06:30:00,74.0,2.0,70.0,20.19,69.87,375.0,372.95
2021-08-20 06:45:00,74.0,2.0,70.0,0.0106,65.16,375.0,375.86
2021-08-20 07:00:00,74.0,2.0,70.0,15.58,65.01,375.0,375.87
2021-08-20 07:15:00,74.0,2.0,70.0,0.0509,63.97,375.0,375.85
2021-08-20 07:30:00,74.0,2.0,70.0,0.0,64.29,375.0,375.81
2021-08-20 07:45:00,74.0,1.0,70.0,0.0,64.4,375.0,375.89
2021-08-20 08:00:00,74.0,2.0,70.0,0.0,64.69,375.0,375.89
2021-08-20 08:15:00,74.0,2.0,70.0,0.0,65.26,375.0,378.84
2021-08-20 08:30:00,74.0,2.0,70.0,4.48,65.73,375.0,375.88
2021-08-20 08:45:00,74.0,1.0,70.0,0.0,66.13,375.0,375.95
2021-08-20 09:00:00,74.0,2.0,70.0,0.0,65.84,375.0,378.79
2021-08-20 09:15:00,74.0,2.0,70.0,0.0,66.31,375.0,378.81
2021-08-20 09:30:00,74.0,1.0,70.0,0.0,66.61,375.0,378.81
2021-08-20 09:45:00,74.0,1.0,70.0,0.0,67.77,375.0,378.81
2021-08-20 10:00:00,74.0,1.0,70.0,0.0,68.81,375.0,375.8
2021-08-20 10:15:00,74.0,1.0,70.0,0.0,69.4,375.0,378.77
2021-08-20 10:30:00,74.0,1.0,70.0,0.0,70.16,375.0,378.77
